word,pinyin,derivation,常用
阿鼻地狱,ā bí dì yù,语出《法华经·法师功德品》下至阿鼻地狱。,0
阿党比周,ē dǎng bǐ zhōu,三国·魏·曹操《整齐风俗令》阿党比周，先圣所疾也。,0
阿党相为,ē dǎng xiāng wéi,《汉书·诸葛丰传》今以四海之大，曾无伏节死谊之臣，率尽苟合取容，阿党相为，念私门之利，忘国家之政。,0
阿狗阿猫,ā gǒu ā māo,鲁迅《我们要批评家》然而新的批评家不开口，类似批评家之流便趁势一笔抹杀‘阿狗阿猫’。,0
阿姑阿翁,ā gū ā wēng,见阿家阿翁。,0
阿家阿翁,ā gū ā wēng,唐·赵璾《因话录》卷一郭暖尝与升平公主琴瑟不调。尚父拘暖，自诣朝童结罪。上召而慰之曰‘谚云不痴不聋，不作阿家阿翁。’,0
阿娇金屋,ā jiāo jīn wū,语出旧题汉·班固《汉武故事》汉武帝幼时曾对姑母长公主说若得阿娇(姑母之女)作妇，当以金屋贮之。,0
阿猫阿狗,ā māo ā gǒu,鲁迅《我的第一个师父》这和名孩子为阿猫阿狗，完全是一样的意思容易养大。,0
阿弥陀佛,ē mí tuó fó,元·张国宾《合汗衫》第四折张寿友曰‘阿弥陀佛，这个是谁？’卜儿云‘这便是媳妇儿。’,0
阿毗地狱,ā pí dì yù,见阿鼻地狱。,0
阿平绝倒,ā píng jué dǎo,据《晋书·卫玠传》及《王澄传》载玠好言玄理。琅玡王澄字平子，兄昵称之曰阿平。有高名，少所推许，每闻玠言，辄叹息绝倒。故时为之语曰卫玠谈道，平子绝倒。,0
阿其所好,ē qí suǒ hào,《孟子·公孙丑上》宰我、子贡、有若，智足以知圣人，污不至阿其所好。,0
阿时趋俗,ē shí qū sú,恽代英《再复毕几庵书》故办杂志者，当研究社会心理。然此决非阿时趋俗，只以顺其势而利导之耳。,0
阿世盗名,ē shì dào míng,清·梁启超《新民说》才智之士，既得此以为阿世盗名之一秘钥，于是名节闲检，荡然无所顾复。,0
阿世媚俗,ē shì mèi sú,鲁迅《坟·文化偏至论》如其《民敌》一书，谓有人宝守真理，不阿世媚俗，而不见容于人群。,0
阿世取容,ē shì qǔ róng,鲁迅《汉文学史纲要》第六篇至叔孙通，则正以曲学容，非重其能定朝仪，知典礼也。,0
阿意取容,ē yì qǔ róng,《南史·孝义传下·陶季直》季直不能阿意取容，明帝颇忌之，出为辅国长史、北海太守。,0
阿谀谄媚,ē yú chǎn mèi,明·冯梦龙《喻世明言·裴晋公义还原配》只是这帮阿谀谄媚的，要博相国欢喜，自然重价购买。,0
阿谀逢迎,ē yú féng yíng,《二程全书·伊川易传一》周之与否在君而已，不可阿谀奉迎求其比己也。,0
阿谀奉承,ē yú fèng chéng,明·东鲁古狂生《醉醒石》第八回他却小器易盈，况且是个小人，在人前不过一味阿谀奉承。,0
阿谀取容,ē yú qǔ róng,汉·杨秉《奏劾侯览》而今猥受过宠，执政操权，其阿谀取容者，则因公褎举，以报私惠。,0
哀哀父母,āi āi fù mǔ,《诗经·小雅·蓼莪》蓼蓼者莪，匪莪伊蒿，哀哀父母，生我劬劳。,0
哀哀欲绝,āi āi yù jué,清·曹雪芹《红楼梦》第十三回那宝珠按未嫁女之礼在灵前哀哀欲绝。,0
哀兵必胜,āi bīng bì shèng,《老子》第六十九章祸莫大于轻敌，轻敌几丧吾宝，故抗兵相加，哀者胜矣。,0
哀而不伤,āi ér bù shāng,《论语·八佾》子曰‘《关雎》乐而不淫，哀而不伤。’,0
哀感天地,āi gǎn tiān dì,宋·释普济《五灯会元》卷一王闻失声号恸，哀感天地。,0
哀感顽艳,āi gǎn wán yàn,三国·魏·繁钦《与魏文帝笺》咏北狄之遐征，奏胡马之长嘶，凄入肝脾，哀感顽艳。,0
哀感中年,āi gǎn zhōng nián,南朝·宋·刘义庆《世说新语·言语》谢太傅（安）语王右军（王羲之）曰‘中年伤于哀乐，与亲友别，辄作数是恶。’,0
哀告宾服,āi gào bīn fú,元·无名氏《延安府》第一折我见他慌悚踌躇，左支右吾，跪在街衢，哀告宾服。,0
哀鸿遍地,āi hóng biàn dì,《诗经·小雅·鸿雁》鸿雁于飞，哀鸣嗷嗷。,0
哀鸿遍野,āi hóng biàn yě,《诗经·小雅·鸿雁》鸿雁于飞，哀鸣嗷嗷。,0
哀毁骨立,āi huǐ gǔ lì,《后汉书·韦彪传》孝行纯至，父母卒，哀毁三年，不出庐寝。服竟，羸瘠骨立异形，医疗数年乃起。南朝宋·刘义庆《世说新语·德行》王戎虽不备礼，而哀毁骨立。,0
哀毁瘠立,āi huǐ jī lì,清·吴敬梓《儒林外史》第十二回众亲戚已到，商量在本族亲房立了一个儿子过来，然后大殓治丧。蘧公子哀毁瘠立，极倦子之谊。,0
哀梨蒸食,āi lí zhēng shí,南朝·宋·刘义庆《世说新语·轻诋》桓南郡每见人不快，辄嗔曰‘君得哀家梨，当复不蒸食不?’,0
哀声叹气,āi shēng tàn qì,明·凌濛初《二刻拍案惊奇》卷三十八终日价没心没想，哀声叹气。,0
哀丝豪竹,āi sī háo zhú,唐·杜甫《醉为马坠诸公携酒相看》诗酒肉如山又一时，初筵哀丝动豪竹。,0
哀思如潮,āi sī rú cháo,京剧《平原作战》第五场赵勇刚（唱）哀思如潮热泪洒，平川有边仇无涯。,0
哀天叫地,āi tiān jiào dì,清·曹雪芹《红楼梦》第二十五回平儿丰儿等哭的哀天叫地，贾政心中也着了忙。,0
哀痛欲绝,āi tòng yù jué,清·曹雪芹《红楼梦》第十三回那宝珠按未嫁女之礼在灵前哀哀欲绝。,0
