成语,拼音,出处,解释,常用
百花齐放,bǎi huā qí fàng,清·李汝珍《镜花缘》第三回百花仙子只顾在此著棋，那知下界帝王忽有御旨命他百花齐放。,比喻各种事物同时涌现或形容繁荣景象。,2
班门弄斧,bān mén nòng fǔ,唐·柳宗元《王氏伯仲唱和诗序》操斧于班、郢之门，斯强颜耳。宋·欧阳修《与梅圣俞书》昨在真定，有诗七八首，今录去，班门弄斧，可笑可笑。,在木匠祖师鲁班门前摆弄斧头。比喻在行家面前卖弄本领。,2
抱头鼠窜,bào tóu shǔ cuàn,《汉书·蒯通传》始常山王、成安君故相与为刎颈之交，及争张黡、陈释之事，常山王奉头鼠窜，以归汉王。,抱着头像老鼠一样逃跑。形容仓皇逃窜的狼狈相。,2
抱薪救火,bào xīn jiù huǒ,《史记·魏世家》且夫以地事秦，譬犹抱薪救火，薪不尽，火不灭。,抱着柴草去救火。比喻用错误的方法消除灾害，结果反而使灾害扩大。,2
暴风骤雨,bào fēng zhòu yǔ,《老子》第二十三章故飘风不终朝，骤雨不终日。,来势急猛的风雨。比喻声势浩大、发展迅猛的群众运动。,2
杯弓蛇影,bēi gōng shé yǐng,汉·应劭《风俗通义·世间多有见怪》时北壁上有悬赤弩照于杯，形如蛇。宣畏恶之，然不敢不饮。,将酒杯中的弓影误认为蛇。比喻因疑虑而恐惧。,2
笨鸟先飞,bèn niǎo xiān fēi,元·关汉卿《陈母教子》第一折我和你有个比喻我似那灵禽在后，你这等坌（笨）鸟先飞。,笨拙的鸟先起飞。比喻能力差的人做事比别人先走一步。,2
别有洞天,bié yǒu dòng tiān,唐·李白《山中问答》诗桃花流水窅然去，别有天地非人间。,另有一种境界。形容风景幽美或艺术创作的新境界。,2
彬彬有礼,bīn bīn yǒu lǐ,《史记·太史公自序》叔孙通定礼仪，则文学彬彬稍进。,文雅而有礼貌的样子。,2
冰清玉洁,bīng qīng yù jié,汉·司马迁《与挚伯陵书》伏唯伯陵材能绝人，高尚其志，以善厥身，冰清玉洁，不以细行。,像冰一样清明，像玉一样纯洁。比喻高尚纯洁。,2
冰天雪地,bīng tiān xuě dì,清·蒋士铨《鸡毛房》冰天雪地风如虎，裸而泣者无栖所。,冰雪覆盖的寒冷世界。形容极其寒冷的环境。,2
兵不厌诈,bīng bù yàn zhà,《韩非子·难一》臣闻之，繁礼君子，不厌忠信；战阵之间，不厌诈伪。,用兵作战时不排斥使用欺诈的策略。,2
波光粼粼,bō guāng lín lín,无,形容水波闪烁发亮的样子。,2
勃然大怒,bó rán dà nù,汉·班固《汉书·谷永传》是故皇天勃然发怒，甲乙之间，暴风三溱拔树折木。,突然大怒的样子。,2
博大精深,bó dà jīng shēn,明·姜世昌《〈逸周书〉序》迄今读书，若揭日月而行千载，其博大精深之旨，非晚世学者所及。,形容学识广博、思想精深。,2
不屈不挠,bù qū bù náo,《汉书·叙传下》乐昌笃实，不桡不诎。,形容在困难或压力面前不屈服、不退缩。,2
蚕食鲸吞,cán shí jīng tūn,《韩非子·存韩》诸侯可蚕食而尽，赵氏可得与敌矣。,比喻逐渐侵占或一举兼并。,2
